timestamp,gamma,rep_index,latency_ms
2026-06-30 23:01:51,1.0,0,86.0
2026-06-30 23:01:51,1.0,1,86.0
2026-06-30 23:01:51,1.0,2,86.0
2026-06-30 23:01:51,1.0,3,86.0
2026-06-30 23:01:51,1.0,4,86.0
2026-06-30 23:01:51,1.0,5,86.0
2026-06-30 23:01:51,1.0,6,86.0
2026-06-30 23:01:51,1.0,7,86.0
2026-06-30 23:01:51,1.0,8,86.0
2026-06-30 23:01:51,1.0,9,86.0
2026-06-30 23:01:51,1.0,10,86.0
2026-06-30 23:01:51,1.0,11,86.0
2026-06-30 23:01:51,1.0,12,86.0
2026-06-30 23:01:51,1.0,13,86.0
2026-06-30 23:01:51,1.0,14,86.0
2026-06-30 23:01:51,1.0,15,86.0
2026-06-30 23:01:51,1.0,16,86.0
2026-06-30 23:01:51,1.0,17,86.0
2026-06-30 23:01:51,1.0,18,86.0
2026-06-30 23:01:51,1.0,19,86.0
2026-06-30 23:01:51,1.0,20,86.0
2026-06-30 23:01:51,1.0,21,86.0
2026-06-30 23:01:51,1.0,22,86.0
2026-06-30 23:01:51,1.0,23,86.0
2026-06-30 23:01:51,1.0,24,86.0
2026-06-30 23:01:51,1.0,25,86.0
2026-06-30 23:01:51,1.0,26,86.0
2026-06-30 23:01:51,1.0,27,86.0
2026-06-30 23:01:51,1.0,28,86.0
2026-06-30 23:01:51,1.0,29,86.0
2026-06-30 23:01:51,1.0,30,86.0
2026-06-30 23:01:51,1.0,31,86.0
2026-06-30 23:01:51,1.0,32,86.0
2026-06-30 23:01:51,1.0,33,86.0
2026-06-30 23:01:51,1.0,34,86.0
2026-06-30 23:01:51,1.0,35,86.0
2026-06-30 23:01:51,1.0,36,86.0
2026-06-30 23:01:51,1.0,37,86.0
2026-06-30 23:01:51,1.0,38,86.0
2026-06-30 23:01:51,1.0,39,86.0
2026-06-30 23:01:51,1.0,40,86.0
2026-06-30 23:01:51,1.0,41,86.0
2026-06-30 23:01:51,1.0,42,86.0
2026-06-30 23:01:51,1.0,43,86.0
2026-06-30 23:01:51,1.0,44,86.0
2026-06-30 23:01:51,1.0,45,86.0
2026-06-30 23:01:51,1.0,46,86.0
2026-06-30 23:01:51,1.0,47,86.0
2026-06-30 23:01:51,1.0,48,86.0
2026-06-30 23:01:51,1.0,49,86.0
2026-06-30 23:01:51,1.0,50,86.0
2026-06-30 23:01:51,1.0,51,86.0
2026-06-30 23:01:51,1.0,52,86.0
2026-06-30 23:01:51,1.0,53,86.0
2026-06-30 23:01:51,1.0,54,86.0
2026-06-30 23:01:51,1.0,55,86.0
2026-06-30 23:01:51,1.0,56,86.0
2026-06-30 23:01:51,1.0,57,86.0
2026-06-30 23:01:51,1.0,58,86.0
2026-06-30 23:01:51,1.0,59,86.0
2026-06-30 23:01:51,1.0,60,86.0
2026-06-30 23:01:51,1.0,61,86.0
2026-06-30 23:01:51,1.0,62,86.0
2026-06-30 23:01:51,1.0,63,86.0
2026-06-30 23:01:51,1.0,64,86.0
2026-06-30 23:01:51,1.0,65,86.0
2026-06-30 23:01:51,1.0,66,86.0
2026-06-30 23:01:51,1.0,67,86.0
2026-06-30 23:01:51,1.0,68,86.0
2026-06-30 23:01:51,1.0,69,86.0
2026-06-30 23:01:51,1.0,70,86.0
2026-06-30 23:01:51,1.0,71,86.0
2026-06-30 23:01:51,1.0,72,86.0
2026-06-30 23:01:51,1.0,73,86.0
2026-06-30 23:01:51,1.0,74,86.0
2026-06-30 23:01:51,1.0,75,86.0
2026-06-30 23:01:51,1.0,76,86.0
2026-06-30 23:01:51,1.0,77,86.0
2026-06-30 23:01:51,1.0,78,86.0
2026-06-30 23:01:51,1.0,79,86.0
2026-06-30 23:01:51,1.0,80,86.0
2026-06-30 23:01:51,1.0,81,86.0
2026-06-30 23:01:51,1.0,82,86.0
2026-06-30 23:01:51,1.0,83,86.0
2026-06-30 23:01:51,1.0,84,86.0
2026-06-30 23:01:51,1.0,85,86.0
2026-06-30 23:01:51,1.0,86,86.0
2026-06-30 23:01:51,1.0,87,86.0
2026-06-30 23:01:51,1.0,88,86.0
2026-06-30 23:01:51,1.0,89,86.0
2026-06-30 23:01:51,1.0,90,86.0
2026-06-30 23:01:51,1.0,91,86.0
2026-06-30 23:01:51,1.0,92,86.0
2026-06-30 23:01:51,1.0,93,86.0
2026-06-30 23:01:51,1.0,94,86.0
2026-06-30 23:01:51,1.0,95,86.0
2026-06-30 23:01:51,1.0,96,86.0
2026-06-30 23:01:51,1.0,97,86.0
2026-06-30 23:01:51,1.0,98,86.0
2026-06-30 23:01:51,1.0,99,86.0
2026-06-30 23:02:36,1.0,0,86.0
2026-06-30 23:02:36,1.0,1,86.0
2026-06-30 23:02:36,1.0,2,86.0
2026-06-30 23:02:36,1.0,3,86.0
2026-06-30 23:02:36,1.0,4,86.0
2026-06-30 23:02:36,1.0,5,86.0
2026-06-30 23:02:36,1.0,6,86.0
2026-06-30 23:02:36,1.0,7,86.0
2026-06-30 23:02:36,1.0,8,86.0
2026-06-30 23:02:36,1.0,9,86.0
2026-06-30 23:02:36,1.0,10,86.0
2026-06-30 23:02:36,1.0,11,86.0
2026-06-30 23:02:36,1.0,12,86.0
2026-06-30 23:02:36,1.0,13,86.0
2026-06-30 23:02:36,1.0,14,86.0
2026-06-30 23:02:36,1.0,15,86.0
2026-06-30 23:02:36,1.0,16,86.0
2026-06-30 23:02:36,1.0,17,86.0
2026-06-30 23:02:36,1.0,18,86.0
2026-06-30 23:02:36,1.0,19,86.0
2026-06-30 23:02:36,1.0,20,86.0
2026-06-30 23:02:36,1.0,21,86.0
2026-06-30 23:02:36,1.0,22,86.0
2026-06-30 23:02:36,1.0,23,86.0
2026-06-30 23:02:36,1.0,24,86.0
2026-06-30 23:02:36,1.0,25,86.0
2026-06-30 23:02:36,1.0,26,86.0
2026-06-30 23:02:36,1.0,27,86.0
2026-06-30 23:02:36,1.0,28,86.0
2026-06-30 23:02:36,1.0,29,86.0
2026-06-30 23:02:36,1.0,30,86.0
2026-06-30 23:02:36,1.0,31,86.0
2026-06-30 23:02:36,1.0,32,86.0
2026-06-30 23:02:36,1.0,33,86.0
2026-06-30 23:02:36,1.0,34,86.0
2026-06-30 23:02:36,1.0,35,86.0
2026-06-30 23:02:36,1.0,36,86.0
2026-06-30 23:02:36,1.0,37,86.0
2026-06-30 23:02:36,1.0,38,86.0
2026-06-30 23:02:36,1.0,39,86.0
2026-06-30 23:02:36,1.0,40,86.0
2026-06-30 23:02:36,1.0,41,86.0
2026-06-30 23:02:36,1.0,42,86.0
2026-06-30 23:02:36,1.0,43,86.0
2026-06-30 23:02:36,1.0,44,86.0
2026-06-30 23:02:36,1.0,45,86.0
2026-06-30 23:02:36,1.0,46,86.0
2026-06-30 23:02:36,1.0,47,86.0
2026-06-30 23:02:36,1.0,48,86.0
2026-06-30 23:02:36,1.0,49,86.0
2026-06-30 23:02:36,1.0,50,86.0
2026-06-30 23:02:36,1.0,51,86.0
2026-06-30 23:02:36,1.0,52,86.0
2026-06-30 23:02:36,1.0,53,86.0
2026-06-30 23:02:36,1.0,54,86.0
2026-06-30 23:02:36,1.0,55,86.0
2026-06-30 23:02:36,1.0,56,86.0
2026-06-30 23:02:36,1.0,57,86.0
2026-06-30 23:02:36,1.0,58,86.0
2026-06-30 23:02:36,1.0,59,86.0
2026-06-30 23:02:36,1.0,60,86.0
2026-06-30 23:02:36,1.0,61,86.0
2026-06-30 23:02:36,1.0,62,86.0
2026-06-30 23:02:36,1.0,63,86.0
2026-06-30 23:02:36,1.0,64,86.0
2026-06-30 23:02:36,1.0,65,86.0
2026-06-30 23:02:36,1.0,66,86.0
2026-06-30 23:02:36,1.0,67,86.0
2026-06-30 23:02:36,1.0,68,86.0
2026-06-30 23:02:36,1.0,69,86.0
2026-06-30 23:02:36,1.0,70,86.0
2026-06-30 23:02:36,1.0,71,86.0
2026-06-30 23:02:36,1.0,72,86.0
2026-06-30 23:02:36,1.0,73,86.0
2026-06-30 23:02:36,1.0,74,86.0
2026-06-30 23:02:36,1.0,75,86.0
2026-06-30 23:02:36,1.0,76,86.0
2026-06-30 23:02:36,1.0,77,86.0
2026-06-30 23:02:36,1.0,78,86.0
2026-06-30 23:02:36,1.0,79,86.0
2026-06-30 23:02:36,1.0,80,86.0
2026-06-30 23:02:36,1.0,81,86.0
2026-06-30 23:02:36,1.0,82,86.0
2026-06-30 23:02:36,1.0,83,86.0
2026-06-30 23:02:36,1.0,84,86.0
2026-06-30 23:02:36,1.0,85,86.0
2026-06-30 23:02:36,1.0,86,86.0
2026-06-30 23:02:36,1.0,87,86.0
2026-06-30 23:02:36,1.0,88,86.0
2026-06-30 23:02:36,1.0,89,86.0
2026-06-30 23:02:36,1.0,90,86.0
2026-06-30 23:02:36,1.0,91,86.0
2026-06-30 23:02:36,1.0,92,86.0
2026-06-30 23:02:36,1.0,93,86.0
2026-06-30 23:02:36,1.0,94,86.0
2026-06-30 23:02:36,1.0,95,86.0
2026-06-30 23:02:36,1.0,96,86.0
2026-06-30 23:02:36,1.0,97,86.0
2026-06-30 23:02:36,1.0,98,86.0
2026-06-30 23:02:36,1.0,99,86.0
